id,name,latitude,longitude,elev,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
01001099999,JAN MAYEN NOR NAVY NO,70.93333,-8.66667,9.0,nan,6.2,7.6,7.1,8.5,6.9,6.2,5.1,6.8,9.1,9.5,7.5,6.8,7.4,5.5
01015099999,HEKKINGEN FYR NO,69.60000,17.83333,14.0,nan,15.1,18.0,11.0,9.6,12.9,10.7,13.2,16.0,16.7,10.8,15.6,13.7,nan,11.3
01030099999,KISTEFJELL NO,69.28333,18.13333,982.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.3,8.7,5.5,11.6,5.9
01047099999,KAUTOKEINO II NO,69.01667,23.06667,307.0,nan,19.7,19.3,15.8,10.2,17.6,17.1,16.5,19.7,18.7,12.7,15.5,15.4,18.6,11.2
01076099999,TANABRU NO,70.21667,28.16667,32.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.8,12.3,22.8,17.2,17.1,12.8
01087999999,SNORRE B OIL PLATFORM NO,61.53333,2.20000,90.0,nan,nan,nan,nan,nan,nan,13.4,13.1,13.0,14.0,13.9,13.3,12.9,13.3,11.3
01102599999,HEIDRUN NO,65.33333,7.31667,80.0,nan,14.4,18.9,14.1,12.0,14.4,11.9,11.3,14.4,15.7,12.4,12.9,13.0,12.9,9.4
01122099999,KJAERSTAD NO,65.78400,13.21491,72.2,nan,22.1,24.7,21.3,20.0,19.4,20.3,19.0,18.4,23.1,17.4,16.8,15.7,19.3,13.1
01148099999,STORFORSHEI NO,66.38333,14.51667,110.0,nan,nan,nan,nan,nan,nan,21.2,18.9,18.8,22.3,16.6,16.3,15.2,19.1,13.8
01169099999,SALTDAL NORDNES NO,66.93333,15.31667,37.0,nan,nan,nan,nan,nan,nan,nan,nan,19.8,23.2,17.2,17.7,14.7,19.1,15.4
01212099999,ONA II NO,62.86667,6.53333,15.0,nan,17.8,19.7,18.1,15.4,16.5,13.1,15.4,15.4,16.9,15.4,14.0,13.6,15.2,11.6
01228099999,SULA NO,63.85000,8.46667,6.0,nan,19.2,21.4,17.9,16.0,15.7,13.9,15.0,16.5,17.9,14.8,14.3,13.9,14.9,11.0
01242099999,AFJORD II NO,63.96667,10.21667,30.0,nan,nan,nan,22.8,21.4,19.4,22.4,20.9,20.9,24.5,20.6,17.3,16.6,18.8,11.6
01271099999,VAERNES NO,63.45756,10.93987,17.1,nan,23.1,25.3,22.3,22.5,21.0,18.7,20.4,20.3,23.6,19.2,17.7,16.7,20.1,12.4
01293099999,MERAKER EGGE NO,63.41667,11.73333,171.0,nan,25.6,24.4,21.9,23.9,22.1,21.2,21.7,20.0,23.3,21.6,18.3,17.2,21.3,12.2
01317099999,BERGEN FLORIDA NO,60.38333,5.33333,36.0,nan,23.8,22.7,24.5,24.6,19.7,20.3,21.3,16.8,19.2,22.0,16.3,17.0,20.6,15.5
01337099999,VOSSEVANGEN NO,60.63333,6.43333,55.0,nan,26.4,22.2,24.6,27.1,21.2,23.4,21.3,18.0,21.1,23.9,16.7,18.8,25.4,16.9
01355099999,LAERDAL IV NO,61.10000,7.50000,5.0,nan,nan,nan,nan,27.5,20.6,21.0,21.8,18.1,23.5,20.8,17.9,19.0,24.9,17.0
01367099999,FAGERNES NO,60.98333,9.21667,365.4,nan,27.1,18.7,22.1,25.6,22.3,18.8,18.9,19.0,19.8,24.4,17.1,19.8,27.2,16.3
01380099999,VENABU NO,61.65000,10.11667,930.0,nan,22.4,nan,18.4,20.6,18.2,15.5,16.0,15.6,16.4,20.3,13.6,15.3,21.8,11.3
01393099999,DREVSJO NO,61.88333,12.03333,673.5,nan,24.2,17.8,18.6,21.1,19.9,16.8,17.8,18.1,20.0,21.1,13.7,16.1,20.8,13.1
01414099999,ROVER NO,59.43333,5.06667,25.0,nan,nan,nan,nan,nan,nan,15.2,17.4,14.4,15.4,16.6,14.0,13.5,15.0,12.6
01427099999,LISTA FYR NO,58.11667,6.56667,14.0,nan,23.5,16.4,21.5,20.9,18.4,16.6,18.6,16.8,17.9,18.8,15.6,14.9,18.2,nan
01444099999,VALLE NO,59.20000,7.51667,302.0,nan,nan,nan,nan,nan,nan,nan,17.7,18.0,19.0,24.5,16.3,19.4,28.0,15.6
01463099999,AS NO,59.65000,10.76667,89.0,nan,nan,nan,nan,nan,nan,nan,19.9,19.6,22.3,22.9,18.4,21.9,26.4,18.3
01473099999,KONGSBERG BRANNSTASJON NO,59.61667,9.63333,173.0,nan,27.7,19.0,22.5,25.0,24.2,19.8,20.6,21.0,21.7,26.3,19.2,22.2,28.5,19.1
01484399999,OSEBERG NO,59.31667,10.45000,15.0,nan,16.1,16.4,17.7,19.0,14.1,14.3,14.3,13.6,13.7,13.7,13.0,13.3,13.3,11.9
01495099999,STROMTANGEN FYR NO,59.15000,10.83333,10.0,nan,22.3,19.7,20.7,21.5,19.2,21.7,19.6,17.5,20.1,19.5,17.1,18.6,20.9,17.8
02038099999,LATNIVAARA SW,67.25000,20.26667,453.0,nan,22.0,20.8,18.0,14.7,19.1,17.8,16.6,18.1,18.9,15.2,16.7,15.3,17.8,12.8
02103099999,HEMAVAN GIEREVARTO SW,65.78333,15.06667,793.0,nan,18.8,18.9,18.9,15.6,16.0,16.1,14.7,15.0,17.8,13.5,11.3,11.6,15.4,9.2
02151099999,JOKKMOKK FPL SW,66.48333,20.16667,275.0,nan,23.7,22.0,20.3,17.1,21.5,20.1,18.7,19.3,20.6,17.0,17.8,17.1,19.4,14.9
