id,name,latitude,longitude,elev,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
01001099999,JAN MAYEN NOR NAVY NO,70.93333,-8.66667,9.0,nan,0.9,1.9,0.1,1.0,0.1,1.0,2.5,0.3,1.2,2.5,0.7,0.7,0.2,2.8
01015099999,HEKKINGEN FYR NO,69.60000,17.83333,14.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01030099999,KISTEFJELL NO,69.28333,18.13333,982.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,0.0,0.0
01047099999,KAUTOKEINO II NO,69.01667,23.06667,307.0,nan,0.4,0.0,0.8,0.0,0.1,0.0,1.9,0.1,0.2,1.5,0.4,0.8,0.2,0.1
01076099999,TANABRU NO,70.21667,28.16667,32.0,nan,nan,nan,nan,nan,nan,nan,nan,1.1,1.8,0.6,0.3,2.3,2.4,1.0
01087999999,SNORRE B OIL PLATFORM NO,61.53333,2.20000,90.0,nan,nan,nan,nan,nan,nan,nan,0.0,nan,0.0,0.0,nan,0.0,0.0,0.0
01102599999,HEIDRUN NO,65.33333,7.31667,80.0,nan,0.0,0.0,0.0,0.0,0.0,nan,0.0,nan,0.0,0.0,nan,nan,0.0,nan
01122099999,KJAERSTAD NO,65.78400,13.21491,72.2,nan,0.0,0.0,0.0,0.0,1.3,6.1,8.2,2.1,1.0,2.0,1.2,nan,1.7,19.8
01148099999,STORFORSHEI NO,66.38333,14.51667,110.0,nan,nan,nan,nan,nan,nan,nan,8.0,5.8,2.5,2.6,3.1,13.1,0.0,0.0
01169099999,SALTDAL NORDNES NO,66.93333,15.31667,37.0,nan,nan,nan,nan,nan,nan,nan,nan,1.3,0.2,1.3,0.8,8.4,0.2,10.9
01212099999,ONA II NO,62.86667,6.53333,15.0,nan,2.1,0.0,2.6,1.8,2.7,1.2,0.0,0.0,0.3,4.5,0.2,2.8,0.0,0.0
01228099999,SULA NO,63.85000,8.46667,6.0,nan,0.6,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01242099999,AFJORD II NO,63.96667,10.21667,30.0,nan,nan,nan,0.4,0.9,0.2,11.8,19.2,7.7,1.5,4.5,1.7,13.8,0.7,7.2
01271099999,VAERNES NO,63.45756,10.93987,17.1,nan,0.9,0.3,0.0,2.1,0.5,2.7,3.6,1.3,0.5,2.8,0.4,3.4,0.4,0.5
01293099999,MERAKER EGGE NO,63.41667,11.73333,171.0,nan,0.1,0.1,0.0,2.5,1.6,7.8,14.1,0.8,0.7,2.2,1.2,7.2,0.5,7.0
01317099999,BERGEN FLORIDA NO,60.38333,5.33333,36.0,nan,4.4,0.0,2.7,3.3,5.0,5.0,0.3,0.0,4.6,13.3,8.7,5.0,3.5,10.3
01337099999,VOSSEVANGEN NO,60.63333,6.43333,55.0,nan,3.0,0.0,1.7,1.9,2.9,4.6,1.6,0.0,1.2,2.1,4.2,2.7,0.9,5.3
01355099999,LAERDAL IV NO,61.10000,7.50000,5.0,nan,nan,nan,nan,0.2,0.6,3.5,1.5,0.0,0.1,0.3,0.0,0.2,0.4,2.4
01367099999,FAGERNES NO,60.98333,9.21667,365.4,nan,1.4,0.0,1.3,0.4,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01380099999,VENABU NO,61.65000,10.11667,930.0,nan,1.1,0.0,0.5,0.6,0.8,1.3,0.0,0.0,0.3,1.4,2.9,0.0,0.0,0.0
01393099999,DREVSJO NO,61.88333,12.03333,673.5,nan,0.7,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.5,0.3,0.7,0.0
01414099999,ROVER NO,59.43333,5.06667,25.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01427099999,LISTA FYR NO,58.11667,6.56667,14.0,nan,4.9,0.0,2.0,5.1,2.5,0.6,0.1,0.0,1.7,6.7,3.6,0.2,0.6,0.7
01444099999,VALLE NO,59.20000,7.51667,302.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,1.4,2.1,5.4,0.0,0.3,1.2
01463099999,AS NO,59.65000,10.76667,89.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.6,2.7,4.1,0.0,0.7,1.1
01473099999,KONGSBERG BRANNSTASJON NO,59.61667,9.63333,173.0,nan,2.6,0.0,1.9,1.6,0.5,0.0,0.0,0.0,1.1,4.5,1.7,0.0,0.0,0.0
01484399999,OSEBERG NO,59.31667,10.45000,15.0,nan,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,nan,0.0,0.0,nan
01495099999,STROMTANGEN FYR NO,59.15000,10.83333,10.0,nan,3.7,0.8,1.2,0.4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7,0.2
02038099999,LATNIVAARA SW,67.25000,20.26667,453.0,nan,0.5,0.0,0.1,0.0,1.1,0.0,0.8,0.0,nan,1.2,0.4,0.5,0.0,0.6
02103099999,HEMAVAN GIEREVARTO SW,65.78333,15.06667,793.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,nan
02151099999,JOKKMOKK FPL SW,66.48333,20.16667,275.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.1,0.4,1.4,0.6,0.4,1.0,0.3
02188099999,RODKALLEN SW,65.31667,22.38333,2.0,nan,0.2,0.0,0.3,0.1,2.3,0.0,1.1,0.0,0.0,1.5,0.2,1.1,0.5,0.2
02230099999,GUBBHOGEN SW,64.21667,15.55000,310.0,nan,2.5,0.0,0.0,0.4,3.1,1.9,0.2,0.0,nan,3.0,0.0,0.9,0.7,0.7
02260099999,VASTMARKUM SW,63.13333,18.25000,143.0,nan,5.3,0.0,0.2,0.5,1.9,1.1,0.1,0.0,nan,2.0,0.1,0.1,0.0,0.3
02287099999,HOLMON SW,63.80000,20.86667,8.0,nan,2.2,0.0,0.7,0.8,2.7,0.4,1.1,0.0,0.1,1.7,1.0,0.1,1.0,0.5
02329099999,HAMRA SW,61.66667,15.00000,455.0,nan,4.2,0.0,0.4,2.1,1.3,0.1,0.2,0.0,nan,2.6,0.1,0.0,0.4,0.1
02407099999,MALUNG A SW,60.68333,13.70000,306.0,nan,nan,nan,nan,nan,2.8,0.2,0.3,0.0,0.1,4.3,0.9,0.0,0.2,0.1
02431099999,KLOTEN SW,59.86667,15.25000,289.0,nan,nan,nan,nan,nan,3.0,0.2,0.6,0.0,0.7,1.3,0.7,0.0,0.1,0.0
02453099999,GAVLE SANDVIKEN AIR FORCE BASE SW,60.71667,17.16667,16.0,nan,1.5,0.0,1.0,1.0,1.9,0.0,0.4,0.0,0.0,2.0,0.0,0.0,0.0,0.0
02482099999,KERSTINBO SW,60.26667,16.98333,57.0,nan,1.6,0.0,0.8,0.8,1.8,0.1,0.7,0.0,nan,1.3,0.1,0.0,0.0,0.1
02498099999,SVENSKA HOGARNA A SW,59.45000,19.50000,12.0,nan,nan,nan,nan,nan,nan,0.0,0.6,0.0,0.1,0.4,0.1,0.0,0.0,0.0
02526099999,LANDVETTER SW,57.66284,12.27982,154.2,nan,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02549099999,TOMTABACKEN SW,57.50000,14.46667,356.0,nan,2.8,0.0,0.9,1.4,1.1,0.4,0.3,0.0,nan,2.0,0.9,0.3,0.8,0.1
02562599999,SAAB SW,58.40615,15.68051,52.4,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02590099999,VISBY SW,57.66280,18.34621,50.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.4,0.6,0.0,0.0,0.0
02625099999,SKILLINGE SW,55.48333,14.31667,5.0,nan,2.5,0.3,0.8,2.3,3.0,0.0,0.0,0.1,1.5,0.9,0.3,0.0,0.6,0.2
02661099999,KOSTA ORREFORS SW,56.83333,15.46667,232.0,nan,0.0,0.0,0.0,0.0,1.3,0.2,0.3,0.7,nan,0.7,1.6,0.0,0.8,0.3
02706099999,LOHJA PORLA FI,60.25000,24.05000,37.0,nan,nan,nan,1.3,2.1,1.4,0.5,1.7,0.0,0.0,1.0,0.2,0.1,0.0,0.3
02722099999,INARI SAARISELKA FI,68.41667,27.41667,302.0,nan,nan,nan,nan,0.5,4.6,0.2,1.6,0.4,0.0,1.4,0.8,0.4,0.3,1.0
02737099999,TOHOLAMPI LAITALA FI,63.81667,24.16667,84.5,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
