id,name,latitude,longitude,elev,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
DWD00001,Aach Baden-Wuerttemberg,47.84130,8.84930,478.0,nan,0.2,0.6,2.9,0.2,0.7,7.6,1.7,0.0,3.4,nan,nan,nan,nan,nan
DWD00001,Aach Baden-Wuerttemberg,47.84130,8.84930,478.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
DWD00003,Aachen Nordrhein-Westfalen,50.78270,6.09410,202.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
DWD00003,Aachen Nordrhein-Westfalen,50.78270,6.09410,202.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
DWD00044,Grossenkneten Niedersachsen,52.93350,8.23700,44.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
DWD00052,Ahrensburg-Wulfsdorf Schleswig-Holstein,53.66230,10.19900,46.0,nan,2.9,1.8,2.9,0.5,1.2,8.0,3.0,1.0,6.1,nan,nan,nan,nan,nan
DWD00052,Ahrensburg-Wulfsdorf Schleswig-Holstein,53.66230,10.19900,46.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
DWD00061,Aiterhofen Bayern,48.84430,12.61710,339.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
DWD00070,Albstadt-Ebingen Baden-Wuerttemberg,48.20520,9.03710,712.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
DWD00071,Albstadt-Badkap Baden-Wuerttemberg,48.21550,8.97840,759.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
DWD00072,Albstadt-Onstmettingen Baden-Wuerttemberg,48.27660,9.00010,794.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
DWD00073,Aldersbach-Kriestorf Bayern,48.61590,13.05060,340.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
DWD00078,Alfhausen Niedersachsen,52.48500,7.91190,65.0,nan,1.2,2.3,5.3,nan,3.6,2.9,3.6,0.4,6.1,nan,nan,nan,nan,nan
DWD00078,Alfhausen Niedersachsen,52.48500,7.91190,65.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
DWD00091,Alsfeld-Eifa Hessen,50.74460,9.34500,300.0,nan,2.6,0.8,2.5,0.6,0.7,2.5,1.9,0.2,5.3,nan,nan,nan,nan,nan
DWD00091,Alsfeld-Eifa Hessen,50.74460,9.34500,300.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
DWD00093,Alsfeld-Reibertenrod Hessen,50.76910,9.25420,269.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
DWD00098,Altastenberg Nordrhein-Westfalen,51.18900,8.46710,780.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
DWD00150,Alzey Rheinland-Pfalz,49.72720,8.11600,215.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
DWD00177,Ansbach-Hennenbach Bayern,49.31580,10.58150,418.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
DWD00211,Asslar Klein-Altenstaedten Hessen,50.57990,8.46820,200.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
DWD00273,Baindt Baden-Wuerttemberg,47.84130,9.66060,467.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
DWD00326,Beckum-Unterberg Nordrhein-Westfalen,51.72040,8.05770,120.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
DWD00377,Bergzabern Bad Rheinland-Pfalz,49.10700,7.99670,252.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
DWD00420,Berlin-Marzahn Berlin,52.54470,13.55980,60.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
DWD00445,Bernburg/Saale (Nord) Sachsen-Anhalt,51.82180,11.71090,84.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
DWD00554,Bocholt-Liedern (Wasserwerk) Nordrhein-Westfalen,51.82930,6.53650,23.0,nan,12.4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
DWD00603,Bonn-Roleber Nordrhein-Westfalen,50.73490,7.19310,159.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
DWD00652,Hagenbuechach Bayern,49.53530,10.77060,384.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
DWD00703,Bremervoerde (A) Niedersachsen,53.47790,9.15530,5.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
DWD00755,Buchen Kr. Neckar-Odenwald Baden-Wuerttemberg,49.51810,9.32140,340.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
DWD00817,Burgwald-Bottendorf Hessen,51.03060,8.81460,293.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
DWD00867,Lautertal-Oberlauter Bayern,50.30670,10.96800,345.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
DWD00931,Deggenhausertal-Azenweiler Baden-Wuerttemberg,47.80070,9.41080,708.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
DWD00983,Dillingen/Donau-Fristingen Bayern,48.55620,10.55990,419.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
DWD01052,Drewitz bei Burg Sachsen-Anhalt,52.21720,12.16350,80.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
DWD01093,Eberbach (LUBW) Baden-Wuerttemberg,49.46000,8.95840,131.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
DWD01172,Einbeck Niedersachsen,51.81890,9.88710,123.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
DWD01221,Emden-Wolthusen Niedersachsen,53.37070,7.22360,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
DWD01266,Erfde Schleswig-Holstein,54.29890,9.31610,18.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
DWD01300,Eslohe Nordrhein-Westfalen,51.25400,8.15630,351.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
DWD01358,Fichtelberg Sachsen,50.42830,12.95350,1213.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
DWD01421,Frankfurt/Main (Stadt) Hessen,50.14740,8.67460,125.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
DWD01468,Freudenstadt Baden-Wuerttemberg,48.45370,8.40910,797.0,nan,10.2,15.3,14.9,11.7,17.2,8.2,10.0,7.6,10.2,nan,nan,nan,nan,nan
DWD01526,Fulda Hessen,50.53350,9.67500,255.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
DWD01602,Ohlsbach Baden-Wuerttemberg,48.43290,7.99310,176.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
DWD01667,Glueckstadt Schleswig-Holstein,53.79700,9.42950,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
DWD01759,Greifswalder Oie Mecklenburg-Vorpommern,54.24370,13.91020,12.0,nan,12.1,14.7,21.1,13.4,12.7,11.9,17.9,11.9,9.5,nan,nan,nan,nan,nan
DWD01891,Guetersloh Nordrhein-Westfalen,51.88750,8.35430,72.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
DWD01987,Hamburg-Sankt Pauli Hamburg,53.54680,9.96640,35.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
DWD02053,Hasselfelde Sachsen-Anhalt,51.68680,10.86310,461.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
DWD02110,Heinsberg-Schleiden Nordrhein-Westfalen,51.04120,6.10410,57.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
DWD02171,Hersfeld Bad Hessen,50.85190,9.73780,272.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
DWD02252,Bertsdorf-Hoernitz Sachsen,50.89940,14.74560,270.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
DWD02318,Holzhausen a.d. Haide Rheinland-Pfalz,50.21820,7.91330,397.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
DWD02360,Huell Bayern,48.60180,11.67690,438.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
DWD02429,Itzehoe Schleswig-Holstein,53.98970,9.56960,21.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
DWD02485,Kaisersbach-Cronhuette Baden-Wuerttemberg,48.91710,9.68720,489.0,nan,nan,nan,nan,nan,nan,nan,8.1,5.9,7.1,nan,nan,nan,nan,nan
DWD02533,Kassel-Harleshausen Hessen,51.33400,9.45060,198.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
DWD02600,Kitzingen Bayern,49.73610,10.17820,188.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
