id,name,latitude,longitude,elev,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
id,name,latitude,longitude,elev,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
WMO02197,HAPARANDA SWEDEN,65.81667,24.10000,15.0,nan,nan,nan,nan,nan,80.3,82.4,54.4,88.3,nan,nan,nan,nan,nan,nan
WMO02805,UTSJOKI KEVO FINLAND,69.75000,27.03333,101.0,nan,35.4,36.1,34.7,59.3,24.6,26.3,20.1,nan,40.4,51.6,32.4,26.6,57.7,nan
WMO02963,JOKIOINEN OBSERVATORY FINLAND,60.81667,23.50000,103.0,nan,36.6,48.9,68.4,78.9,86.0,82.3,34.3,nan,40.4,129.4,68.7,37.6,71.1,51.0
WMO03160,EDINBURGH (TURNHOUSE AIRPORT) UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND,56.00000,-3.40000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
WMO03534,BIRMINGHAM_AIRPORT UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND,52.45000,-1.73333,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
WMO03827,PLYMOUTH-MOUNT BATTON UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND,50.40000,-4.10000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
WMO03964,GALWAY IRELAND,53.30000,-9.00000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
WMO04030,REYKJAVIK ICELAND,64.13333,-21.90000,61.0,nan,105.4,62.9,82.1,52.1,95.4,82.1,96.6,82.9,83.0,nan,nan,nan,72.1,72.6
WMO06590,LUXEMBOURG/LUXEMBOURG LUXEMBOURG,49.61667,6.21667,376.0,nan,95.7,117.0,72.9,97.9,107.0,121.9,102.6,74.3,74.1,nan,nan,nan,145.6,74.3
WMO07015,LILLE-LESQUIN FRANCE,50.56667,3.08333,47.0,nan,103.0,103.4,93.6,77.0,96.3,122.9,87.3,79.4,102.4,81.3,103.6,98.3,nan,nan
WMO07149,ORLY FRANCE,48.71667,2.38333,90.0,nan,nan,nan,nan,102.9,115.9,115.9,72.7,78.1,96.0,96.9,120.1,114.1,143.3,nan
WMO07299,BALE-MULHOUSE FRANCE,47.60000,7.50000,273.0,nan,121.4,117.6,108.0,108.1,98.4,151.3,96.4,96.1,116.3,113.4,87.4,135.9,nan,nan
WMO07577,MONTELIMAR FRANCE,44.56667,4.71667,74.0,nan,158.3,196.9,116.4,184.3,146.1,152.0,139.7,115.0,152.9,160.0,151.1,200.0,132.9,nan
WMO07747,PERPIGNAN FRANCE,42.73333,2.86667,44.0,nan,166.7,202.7,180.1,193.0,176.1,208.9,155.9,155.7,191.1,nan,nan,nan,145.1,164.7
WMO08023,SANTANDER SPAIN,43.48333,-3.78333,59.0,nan,144.0,137.7,128.4,151.6,117.6,168.3,138.3,126.1,158.0,148.7,152.4,158.0,172.9,117.9
WMO08075,BURGOS/VILLAFRIA SPAIN,42.35000,-3.61667,892.0,nan,139.1,164.9,135.0,158.6,154.7,197.4,140.4,133.7,161.0,nan,nan,nan,149.7,143.0
WMO08161,ZARAGOZA SPAIN,41.63333,-0.90000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
WMO08219,COLMENAR VIEJO/FAMET SPAIN,40.68333,-3.75000,998.0,nan,131.4,217.6,167.4,210.0,193.9,204.3,175.9,196.3,179.4,167.7,169.3,248.6,163.4,nan
WMO08238,TORTOSA SPAIN,40.81667,0.48333,50.0,nan,180.4,220.0,180.0,204.6,215.9,196.3,182.6,207.9,202.6,211.0,163.4,237.7,196.1,nan
WMO08314,MENORCA/MAHON SPAIN,39.85000,4.20000,86.0,nan,181.9,123.1,111.9,176.1,137.3,184.0,141.7,133.3,192.1,165.0,180.4,217.6,170.3,nan
WMO08397,MORON DE LA FRONTERA SPAIN,37.15000,-5.60000,88.0,nan,175.6,251.3,206.7,251.3,221.7,256.9,202.3,233.3,222.0,202.4,218.6,nan,203.6,233.1
WMO08452,CADIZ OBS. SPAIN,36.50000,-6.25000,9.0,nan,180.9,nan,205.3,nan,nan,nan,196.0,nan,nan,nan,nan,nan,nan,nan
WMO08515,SANTA MARIA (ACORES) PORTUGAL,36.96667,-25.16667,100.0,nan,165.0,219.0,189.0,nan,144.3,193.0,139.0,nan,nan,nan,nan,nan,154.9,150.1
WMO08558,EVORA/C. COORD PORTUGAL,38.53333,-7.90000,246.0,nan,160.3,250.3,193.4,181.9,110.3,185.0,148.0,49.0,117.0,nan,nan,80.0,128.0,133.0
WMO10035,SCHLESWIG GERMANY,54.51667,9.53333,nan,nan,58.4,104.1,70.3,84.7,103.9,116.4,81.1,92.4,80.0,88.9,69.3,nan,118.1,72.0
WMO10131,CUXHAVEN GERMANY,53.86667,8.70000,12.0,nan,70.6,105.0,78.4,78.9,88.1,103.7,70.1,103.0,75.4,nan,nan,nan,129.0,81.6
WMO10168,GOLDBERG GERMANY,53.60000,12.10000,59.0,nan,nan,nan,nan,72.3,91.1,122.6,110.3,98.4,72.4,104.4,52.6,61.6,132.3,nan
WMO10235,SOLTAU GERMANY,52.95000,9.78333,77.0,nan,nan,nan,nan,66.6,73.4,118.0,89.0,86.0,85.1,93.9,52.6,62.3,125.7,88.7
WMO10282,FELDBERG/MECKLENBURG GERMANY,53.31667,13.41667,116.0,nan,nan,nan,nan,66.6,99.3,128.6,98.6,88.0,71.9,90.1,46.6,63.1,128.6,nan
WMO10325,BAD SALZUFLEN GERMANY,52.10000,8.75000,136.0,nan,nan,nan,nan,64.6,82.7,139.1,103.9,85.3,96.0,96.1,57.7,63.4,137.1,nan
WMO10381,BERLIN-DAHLEM GERMANY,52.46667,13.30000,nan,nan,108.3,95.1,86.9,72.6,105.7,159.0,118.9,95.1,96.6,117.7,58.3,nan,149.0,112.7
WMO10427,KAHLER ASTEN GERMANY,51.16667,8.48333,858.0,nan,75.7,70.0,54.7,54.1,70.4,133.1,99.3,58.7,81.1,79.9,44.3,49.3,113.0,57.3
WMO10453,BROCKEN GERMANY,51.80000,10.61667,1152.0,nan,90.6,56.1,65.7,53.7,98.1,157.1,105.4,60.9,100.3,nan,nan,58.9,119.3,nan
WMO10490,DOBERLUG-KIRCHHAIN GERMANY,51.63333,13.56667,97.0,nan,nan,nan,nan,73.0,107.7,157.7,110.6,100.0,102.4,99.7,42.7,77.4,132.7,nan
WMO10520,ANDERNACH GERMANY,50.41667,7.41667,76.0,nan,nan,nan,nan,nan,nan,114.3,83.1,71.3,67.9,nan,nan,nan,113.6,65.7
WMO10552,SCHMUECKE GERMANY,50.65000,10.76667,939.0,nan,nan,nan,nan,41.9,102.7,156.7,104.9,66.3,84.7,79.1,36.6,50.9,122.0,nan
WMO10579,MARIENBERG GERMANY,50.65000,13.13333,640.0,nan,nan,nan,nan,80.4,117.6,158.1,111.3,104.0,111.9,104.7,47.6,77.7,141.3,126.1
WMO10646,NEUHUETTEN-SPESSART GERMANY,50.00000,9.41667,340.0,nan,nan,nan,nan,68.9,94.3,129.7,86.6,81.1,61.9,nan,nan,nan,135.9,69.7
WMO10706,THOLEY GERMANY,49.46667,7.03333,387.0,nan,nan,nan,nan,82.4,96.3,112.0,96.0,73.0,77.6,nan,nan,nan,149.6,71.7
WMO10742,OEHRINGEN GERMANY,49.20000,9.51667,274.0,nan,124.1,109.0,89.3,80.4,110.3,145.4,99.3,88.4,91.4,86.4,82.3,86.9,148.3,nan
WMO10796,ZWIESEL GERMANY,49.01667,13.23333,616.0,nan,nan,nan,nan,79.1,110.9,158.4,113.0,50.0,120.1,nan,nan,81.6,156.9,nan
WMO10852,AUGSBURG GERMANY,48.41667,10.93333,476.0,nan,129.9,103.6,97.0,84.4,99.9,121.9,98.9,81.6,67.7,81.9,72.1,115.1,130.1,95.7
WMO10929,KONSTANZ GERMANY,47.66667,9.18333,444.0,nan,113.7,96.6,97.1,86.0,90.9,90.1,78.1,75.1,91.3,85.7,82.6,117.9,144.3,nan
WMO11028,ST. POELTEN (HESSERKASERNE) AUSTRIA,48.20000,15.60000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
WMO11406,EGER CZECH REPUBLIC,50.08333,12.40000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
WMO11787,LYSA HORA CZECH REPUBLIC,49.53333,18.43333,1326.0,nan,123.6,70.4,103.1,52.9,127.0,128.3,103.4,106.0,99.1,nan,nan,nan,128.4,137.9
WMO12330,POZNAN POLAND,52.41667,16.83333,88.0,nan,96.7,93.9,97.6,65.6,122.0,124.6,99.9,102.9,36.0,99.4,59.0,87.4,132.1,nan
WMO12843,BUDAPEST/PESTSZENTLORINC HUNGARY,47.43333,19.18333,139.0,nan,181.3,127.0,141.3,107.6,145.6,161.7,142.6,162.9,112.6,123.1,97.0,142.3,148.1,176.7
WMO13363,PLJEVLJA MONTENEGRO,43.35000,19.35000,788.0,nan,166.0,85.0,144.0,93.1,97.0,136.4,134.6,144.1,102.4,121.1,99.4,148.1,138.9,172.7
WMO13615,TIRANA ALBANIA,41.33333,19.78333,90.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
WMO15023,SUCEAVA ROMANIA,47.61667,26.23333,353.0,nan,164.4,107.6,153.1,98.4,138.7,164.1,153.9,136.6,115.6,nan,nan,nan,156.7,146.6
WMO15360,SULINA ROMANIA,45.13333,29.75000,13.0,nan,148.0,139.9,186.4,148.7,135.7,149.3,142.1,126.9,119.1,109.6,109.6,128.6,146.1,144.6
WMO16008,S. VALENTINO ALLA MUTA ITALY,46.75000,10.53333,1461.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
WMO16099,TREVISO/S.ANGELO ITALY,45.65000,12.18333,nan,nan,136.7,139.7,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
WMO16191,FALCONARA ITALY,43.60000,13.40000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
WMO16258,MONTE S. ANGELO ITALY,41.70000,15.93333,848.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
WMO16429,TRAPANI BIRGI ITALY,37.90000,12.48333,9.0,nan,213.0,172.4,204.4,205.6,149.1,205.1,174.4,182.6,197.3,168.3,174.0,215.7,165.6,nan
WMO16597,LUQA MALTA,35.85000,14.48333,nan,nan,240.9,186.4,195.6,234.3,196.3,190.6,195.7,219.3,226.9,nan,nan,nan,167.0,204.9
WMO16746,SOUDA (AIRPORT) GREECE,35.48333,24.11667,151.0,nan,181.3,179.9,188.6,193.9,158.6,141.1,196.0,224.3,180.6,180.0,192.6,216.0,153.6,nan
WMO17062,ISTANBUL TURKEY,40.90000,29.15000,nan,nan,113.6,139.1,157.0,159.9,140.7,157.0,174.6,156.6,nan,nan,nan,nan,nan,nan
WMO17092,ERZINCAN TURKEY,39.70000,39.51667,1154.0,nan,167.0,179.7,204.4,183.3,171.4,179.6,155.0,202.4,158.4,143.9,216.6,189.4,163.3,210.0
WMO17150,BALIKESIR TURKEY,39.61667,27.91667,102.0,nan,130.1,147.9,162.9,157.6,123.7,186.9,185.0,175.7,122.6,155.3,182.6,202.0,161.9,nan
WMO17202,ELAZIG TURKEY,38.60000,39.28333,881.0,nan,200.1,200.6,222.0,191.0,204.1,225.4,162.0,217.7,168.1,183.4,255.6,227.6,189.9,nan
WMO17255,KAHRAMANMARAS TURKEY,37.60000,36.93333,572.0,nan,167.7,168.0,174.7,187.3,178.0,185.0,150.3,188.7,160.4,166.7,215.7,222.1,151.4,nan
WMO17351,ADANA/BOLGE TURKEY,36.98333,35.35000,27.0,nan,204.3,197.6,208.3,197.4,200.9,229.3,192.6,239.1,224.3,nan,nan,238.3,203.0,nan
WMO20674,OSTROV DIKSON RUSSIAN FEDERATION (IN ASIA),73.50000,80.40000,46.0,nan,32.9,21.4,11.4,10.7,17.9,20.0,22.9,15.0,15.7,27.1,12.1,5.7,23.6,nan
WMO21965,OSTROV CHETYREKHSTOLBOVOY RUSSIAN FEDERATION,70.60000,162.50000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
WMO22602,REBOLY RUSSIAN FEDERATION (IN EUROPE),63.83333,30.81667,182.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
WMO23205,NAR'JAN-MAR RUSSIAN FEDERATION (IN ASIA),67.61667,53.01667,11.0,nan,47.7,15.7,15.6,19.6,23.0,29.9,27.1,47.7,44.3,nan,nan,22.1,38.3,nan
WMO23472,TURUHANSK RUSSIAN FEDERATION (IN ASIA),65.78333,87.98333,37.0,nan,51.6,50.9,28.6,64.4,16.7,36.4,71.4,19.3,60.1,35.3,101.4,30.0,25.0,nan
WMO23884,BOR RUSSIAN FEDERATION (IN ASIA),61.56667,90.01667,57.0,nan,62.9,43.7,32.7,61.6,21.6,39.1,45.1,32.3,31.6,29.4,71.6,nan,39.6,31.3
WMO24143,DZARDZAN RUSSIAN FEDERATION (IN ASIA),68.73333,124.00000,38.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
WMO24713,NAKANNO RUSSIAN FEDERATION (IN ASIA),62.88333,108.43333,245.0,nan,89.3,53.7,49.9,86.6,91.7,65.9,67.3,73.9,53.9,nan,nan,nan,58.3,51.3
WMO25173,MYS SHMIDTA RUSSIAN FEDERATION (IN ASIA),68.90000,-179.63333,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
WMO25538,VERHNEE PENZINO RUSSIAN FEDERATION (IN ASIA),64.21667,164.23333,325.0,nan,93.0,49.0,nan,70.0,67.3,nan,27.0,124.1,38.9,49.0,30.0,nan,nan,nan
WMO26038,TALLINN-HARKU ESTONIA,59.38333,24.60000,34.0,nan,38.1,49.0,68.1,50.6,97.4,96.4,53.1,88.7,80.4,102.9,61.6,53.3,86.0,nan
WMO26393,VYSNIJ VOLOCEK RUSSIAN FEDERATION,57.58333,34.56667,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
WMO26629,KAUNAS LITHUANIA,54.88333,23.83333,76.0,nan,93.6,81.1,76.0,68.9,137.7,111.1,79.7,51.1,105.1,103.9,54.0,nan,121.4,86.9
WMO27199,KIROV RUSSIAN FEDERATION (IN EUROPE),58.56667,49.56667,158.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
WMO28138,BISER RUSSIAN FEDERATION (IN ASIA),58.51667,58.85000,463.0,nan,44.9,74.7,50.3,40.3,57.4,35.3,50.7,38.4,50.6,40.4,44.0,60.7,26.1,nan
WMO28573,ISHIM RUSSIAN FEDERATION (IN ASIA),56.10000,69.43333,82.0,nan,68.6,111.7,107.7,119.3,142.3,104.9,98.3,92.9,67.9,nan,nan,116.4,98.6,nan
WMO28766,BLAGOVESHCHENKA KAZAKHSTAN,54.36667,66.96667,151.0,nan,nan,nan,nan,nan,nan,114.9,114.6,107.9,67.7,nan,nan,123.4,123.9,nan
WMO29594,TAJSHET RUSSIAN FEDERATION (IN ASIA),55.95000,98.00000,306.0,nan,103.9,83.7,105.3,122.0,66.6,118.0,80.0,93.4,117.3,nan,nan,84.9,100.1,98.4
WMO30230,KIRENSK RUSSIAN FEDERATION (IN ASIA),57.76667,108.06667,258.0,nan,103.1,60.4,59.7,102.4,77.1,57.7,nan,nan,85.6,nan,nan,nan,95.7,63.4
WMO30635,UST'-BARGUZIN RUSSIAN FEDERATION (IN ASIA),53.41667,109.01667,460.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
WMO30949,KYRA RUSSIAN FEDERATION (IN ASIA),49.56667,111.96667,907.0,nan,213.6,219.9,174.0,215.4,186.3,197.6,173.7,177.9,195.0,229.3,178.9,203.3,218.6,nan
WMO31416,IM POLINY OSIPENKO RUSSIAN FEDERATION (IN ASIA),52.41667,136.50000,70.0,nan,153.4,181.1,123.6,144.0,143.7,129.9,131.0,123.7,150.9,144.3,171.0,nan,154.1,153.0
WMO32061,ALEKSANDROVSK-SAHALINSKIJ RUSSIAN FEDERATION (IN ASIA),50.90000,142.16667,31.0,nan,131.0,120.7,85.1,98.3,117.0,143.4,92.3,111.0,134.0,93.4,91.4,nan,129.1,132.7
WMO32389,KLJUCHI RUSSIAN FEDERATION (IN ASIA),56.31667,160.83333,28.0,nan,111.9,133.3,94.3,110.1,126.4,98.7,110.4,145.0,97.6,104.9,132.4,130.0,114.1,126.9
WMO33041,GOMEL BELARUS,52.40000,30.95000,126.0,nan,89.1,87.0,89.7,75.9,102.3,98.9,63.1,69.3,163.6,138.6,49.1,55.7,136.4,nan
WMO33777,VOZNESENS'K UKRAINE,47.56667,31.33333,34.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
WMO33983,KERCH UKRAINE,45.40000,36.41667,49.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
WMO34300,KHARKIV UKRAINE,49.96667,36.13333,155.0,nan,60.4,101.1,142.9,78.9,87.6,101.7,111.0,71.9,175.3,nan,nan,54.6,168.9,174.0
WMO34927,KRASNODAR-KRUGLIK RUSSIAN FEDERATION (IN EUROPE),45.05000,39.03333,29.0,nan,101.0,168.3,180.4,153.9,112.1,121.9,148.1,147.6,186.4,129.1,144.6,nan,nan,nan
WMO35376,BERLIK KAZAKHSTAN,49.88333,69.51667,349.0,nan,110.3,149.6,130.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
